codigo;nombre;precio_tarifa;dto1;dto2;coste_neto;pvpr
# Tarifa Johnson - precios NETOS de tarifa (antes de descuento) para poder recalcular
# cuando cambien los descuentos. coste_neto = precio_tarifa * (1-dto1) * (1-dto2).
# Descuento vigente 2026-07: -10% -10% (factor 0.81). "mañana cambian los descuentos"
# -> actualizar dto1/dto2 aqui y regenerar coste_neto hacia costes_unitarios.csv.
JINDU3292;Placa Inducción JOHNSON JINDU3292 7400W 3 Zonas 280mm Cristal Negro;134;0.10;0.10;108.54;299
JWAS12EINT;Lavavajillas Integrable JOHNSON 60cm 12 Serv. Clase E;270;0.10;0.10;218.70;489
GUADIANA80W;Lavadora Integrable JOHNSON GUADIANA80W 8kg 1400rpm Clase A Inverter;289;0.10;0.10;234.09;575
JOMI20XINT;Microondas Encastre JOHNSON 20L 800W Grill 1000W Inox;125;0.10;0.10;101.25;245
JRC200ENX1;Combi JOHNSON NF 201x60x60.5 Clase E Inox;350;0.10;0.10;283.50;659
CORO90X1;Campana Encastre T Oculta JOHNSON 90cm Clase A 620m3/h Inox;229;0.10;0.10;185.49;449
JWAS14DXN;Lavavajillas JOHNSON 60cm 14 Serv. Clase D Auto Door Dark Inox;301;0.10;0.10;243.81;599
JWAS10EINT;Lavavajillas Integrable JOHNSON 45cm 10 Serv. Clase E;249;0.10;0.10;201.69;449
NERVION10;Lavadora JOHNSON NERVION10 Carga Frontal 10kg 1500rpm Autodose Blanca Inverter;335;0.10;0.10;271.35;649
JDRY10NERVION;Secadora JOHNSON JDRY10NERVION 10kg Bomba de Calor A+++ Display;375;0.10;0.10;303.75;735
JRC201EN2GN;Combi JOHNSON NF 201.8x59.5x66 Clase E Steel Cooling Cristal Negro;599;0.10;0.10;485.19;1125
JRC200CN2DX;Combi JOHNSON NF 201x59.5x67.8 Clase C Dark Inox Display;550;0.10;0.10;445.50;1035
JRC1851ENW2;Combi JOHNSON NF 185x59.5x60 Clase E Blanco;263;0.10;0.10;213.03;479
JR4D1986ENDX;Frigorífico 4 Puertas JOHNSON 190x83.3x64.1 NF Dark;625;0.10;0.10;506.25;1395
JR4D1986ENGN;Frigorífico 4 Puertas JOHNSON 190x83.3x64.1 NF Clase E Cristal Negro;650;0.10;0.10;526.50;1395
